keys,en,ru
HELP_SHOWCASE_MOD_DNA_PULSE_TIP,Energy Pulse and Energy Balance — song speed or timing windows follow section energy.,Энергетический пульс и Баланс энергии — скорость песни или окна попадания по энергии секций.
HELP_SHOWCASE_MOD_DNA_FOCUS_TIP,Density Focus — faster scroll and tighter visibility on dense sections.,Фокус плотности — быстрее прокрутка и уже видимость на плотных секциях.
HELP_SHOWCASE_MOD_DNA_BEHAVIOR_TIP,Phrase Shift Groove Lock Groove Addiction Adaptive — one virtual rule per section (only one Behavior mod at a time).,Смена фраз / Захват грува / Зависимость от грува / Адаптив — одно правило на секцию (моды поведения по одному).
HELP_SHOWCASE_MOD_CONFLICTS_TITLE,Modifier card states,Состояния карточек модов
HELP_SHOWCASE_MOD_CONFLICTS_CAPTION,Border color shows whether a mod is off selected or would be removed by a conflict.,Цвет рамки показывает: мод выключен выбран или снимется при конфликте.
HELP_SHOWCASE_MOD_CONFLICT_STATES_TITLE,Card borders,Рамки карточек
HELP_SHOWCASE_MOD_CONFLICT_STATE_OFF,Not selected,Не выбран
HELP_SHOWCASE_MOD_CONFLICT_STATE_ON,Selected,Включён
HELP_SHOWCASE_MOD_CONFLICT_STATE_CONFLICT,Removed on conflict,Снимется при конфликте
HELP_SHOWCASE_MOD_CONFLICT_EXAMPLE_TITLE,Example: Half Time + Double Time,Пример: Замедление + Ускорение
HELP_SHOWCASE_MOD_CONFLICT_FOOTER,Enabling an incompatible mod turns off the one already selected.,При включении несовместимого мода уже выбранный снимается.
HELP_SHOWCASE_CHART_FILES_TITLE,Chart file types,Типы файлов чарта
HELP_SHOWCASE_CHART_FILES_CAPTION,Hover a tile for details. Audio and chart data are separate on disk.,Наведите на плитку — подробности. Аудио и данные чарта на диске — разные файлы.
HELP_SHOWCASE_CHART_RF,Chart .rf,Чарт .rf
HELP_SHOWCASE_CHART_RF_TIP,Generated note pattern: instrument mode lanes hits.,Сгенерированный паттерн нот: инструмент режим линии попадания.
HELP_SHOWCASE_CHART_RFD,Rhythm DNA .rfd,Rhythm DNA .rfd
HELP_SHOWCASE_CHART_RFD_TIP,Sidecar with section timeline groove density — powers DNA mods and the track info button.,Sidecar со структурой секций groove плотностью — для DNA-модов и кнопки ℹ на треке.
HELP_SHOWCASE_CHART_AUDIO,Song audio,Аудио песни
HELP_SHOWCASE_CHART_AUDIO_TIP,MP3 OGG WAV in the music library — not the same as .rf.,MP3 OGG WAV в библиотеке — это не .rf.
HELP_SHOWCASE_GENRE_TITLE,Genre mastery cards,Карточки мастерства жанров
HELP_SHOWCASE_GENRE_CAPTION,Example only. In Profile → Genres there are 15 collections tracking your real plays.,Пример. В Профиль → Жанры — 15 коллекций по вашим реальным прохождениям.
HELP_SHOWCASE_GENRE_LOCKED,Locked,Закрыто
HELP_SHOWCASE_GENRE_CELL_TIP,First clear = level 1; +5 clears per level (cap 20). Count shows discovered subgenres.,Первое прохождение = уровень 1; +5 за уровень (до 20). Счётчик — открытые поджанры.
HELP_SHOWCASE_GEN_ADVANCED_TITLE,Advanced generation parameters,Расширенные параметры генерации
HELP_SHOWCASE_GEN_ADVANCED_CAPTION,Same icons as in Generation settings → Advanced. Hover for a short tooltip.,"Те же иконки, что в «Настройки генерации» → «Расширенные». Наведите — краткая подсказка."
HELP_SHOWCASE_GEN_ADVANCED_FOOTER,"Reset style restores defaults for the current chart style. Presets (10 slots) store their own parameter sets.","«Сбросить стиль» возвращает дефолты текущего стиля карты. Пресеты (10 слотов) хранят свой набор параметров отдельно."
HELP_SHOWCASE_SHOP_TITLE,Shop item types,Типы предметов в магазине
HELP_SHOWCASE_SHOP_CAPTION,Cosmetics and sound only — no difficulty bonus.,Только косметика и звук — на сложность не влияют.
HELP_SHOWCASE_SHOP_SKINS,Note skins,Скины нот
HELP_SHOWCASE_SHOP_SKINS_TIP,Changes how notes look on the lanes.,Меняет внешний вид нот на линиях.
HELP_SHOWCASE_SHOP_KICK,Hit sounds,Звуки удара
HELP_SHOWCASE_SHOP_KICK_TIP,Sound on a successful hit; kick cards show a waveform preview.,Звук при попадании; у киков есть превью-волна.
HELP_SHOWCASE_SHOP_COVER,Covers,Обложки
HELP_SHOWCASE_SHOP_COVER_TIP,Fallback artwork when a track has no cover.,Картинка для треков без своей обложки.
HELP_SHOWCASE_SHOP_LANE,Lane highlight,Подсветка линий
HELP_SHOWCASE_SHOP_LANE_TIP,Lane styling and accents.,Оформление подсветки дорожек.
HELP_SHOWCASE_SHOP_PARTICLES,Hit particles,Частицы хита
HELP_SHOWCASE_SHOP_PARTICLES_TIP,Burst on hit; click the preview on the card to test.,Вспышка при попадании; превью — клик по картинке в карточке.
HELP_SHOWCASE_UNLOCK_TITLE,How shop items unlock,Как открывают предметы
HELP_SHOWCASE_UNLOCK_CAPTION,One item can use several methods — the card shows what applies.,"Один предмет может иметь несколько способов — карточка показывает, что подходит."
HELP_SHOWCASE_UNLOCK_CURRENCY,Currency,Валюта
HELP_SHOWCASE_UNLOCK_CURRENCY_TIP,Buy with coins earned in runs and dailies.,Покупка за монеты с забегов и ежедневок.
HELP_SHOWCASE_UNLOCK_ACH,Achievements,Достижения
HELP_SHOWCASE_UNLOCK_ACH_TIP,Free when the achievement condition is met.,Бесплатно при выполнении условия.
HELP_SHOWCASE_UNLOCK_LEVEL,Profile level,Уровень профиля
HELP_SHOWCASE_UNLOCK_LEVEL_TIP,Unlocks at the required player level.,Открывается при нужном уровне.
HELP_SHOWCASE_UNLOCK_DAILY,Daily quests,Ежедневные задания
HELP_SHOWCASE_UNLOCK_DAILY_TIP,Reward for total completed daily quests.,Награда за накопленное число квестов.
HELP_SHOWCASE_UNLOCK_MEDALS,Track medals,Медали треков
HELP_SHOWCASE_UNLOCK_MEDALS_TIP,Threshold by collected medals; medals are not spent.,Порог по собранным медалям; медали не списываются.
HELP_SHOWCASE_XP_TITLE,Experience flow,Как растёт опыт
HELP_SHOWCASE_XP_CAPTION,Clear levels → gain XP → level up → unlock shop items.,Прохождения → опыт → уровень → предметы в магазине.
HELP_SHOWCASE_XP_PLAY,Clear levels,Прохождения
HELP_SHOWCASE_XP_PLAY_TIP,XP from finishing songs.,Опыт за завершённые песни.
HELP_SHOWCASE_XP_GAIN,Gain XP,Опыт
HELP_SHOWCASE_XP_GAIN_TIP,Fills the profile level bar.,Заполняет шкалу уровня профиля.
HELP_SHOWCASE_XP_LEVEL,Level up,Уровень
HELP_SHOWCASE_XP_LEVEL_TIP,Unlocks level-gated shop items (max 100).,Открывает предметы за уровень (макс. 100).
HELP_SHOWCASE_CURRENCY_TITLE,Currency flow,Откуда валюта
HELP_SHOWCASE_CURRENCY_CAPTION,Earn from songs and dailies; spend in the shop.,Зарабатывается в песнях и ежедневках; тратится в магазине.
HELP_SHOWCASE_CUR_SONGS,Song clears,Песни
HELP_SHOWCASE_CUR_SONGS_TIP,Coins from completing tracks.,Монеты за прохождения.
HELP_SHOWCASE_CUR_DAILY,Daily quests,Ежедневки
HELP_SHOWCASE_CUR_DAILY_TIP,Each of the 3 daily tasks pays currency.,Каждое из 3 заданий дня даёт валюту.
HELP_SHOWCASE_CUR_SPEND,Shop,Магазин
HELP_SHOWCASE_CUR_SPEND_TIP,Spend on skins covers lanes kicks and particles.,Трата на скины обложки линии кики и частицы.
HELP_LINKS_HEADER,Useful links,Полезные ссылки
HELP_CALLOUT_TIP,Tip,Совет
HELP_CALLOUT_INFO,Note,Подсказка
HELP_CALLOUT_WARNING,Important,Важно
HELP_LINK_SETTINGS_GENERATION,Open Settings → Generation,Открыть Настройки → Генерация
HELP_LINK_SETTINGS_LIBRARY,Open Settings → Library,Открыть Настройки → Библиотека
HELP_LINK_SETTINGS_SOUND,Open Settings → Audio,Открыть Настройки → Звук
HELP_LINK_SETTINGS_GRAPHICS,Open Settings → Graphics,Открыть Настройки → Графика
SETTINGS_TITLE,Settings,Настройки
SETTINGS_SUBTITLE,"Sound, graphics, controls, and generation","Звук, графика, управление и параметры генерации"
TAB_SOUND,Sound,Звук
TAB_GRAPHICS,Graphics,Графика
TAB_CONTROLS,Controls,Управление
TAB_MISC,Misc,Прочее
SETTINGS_NAV_SOUND,Sound,Звук
SETTINGS_NAV_SOUND_DESC,Volume and audio,Громкость и аудио
SETTINGS_NAV_GRAPHICS,Graphics,Графика
SETTINGS_NAV_GRAPHICS_DESC,Display and performance,Экран и производительность
SETTINGS_NAV_CONTROLS,Controls,Управление
SETTINGS_NAV_CONTROLS_DESC,Keys and layout,Клавиши и раскладка
SETTINGS_NAV_SYSTEM,System,Система
SETTINGS_NAV_SYSTEM_DESC,Language and updates,Язык и обновления
SETTINGS_NAV_GENERATION,Generation,Генерация
SETTINGS_NAV_GENERATION_DESC,Server and generation options,Сервер и параметры генерации
SETTINGS_NAV_EXPERIMENTAL,Experimental,Экспериментальное
SETTINGS_NAV_EXPERIMENTAL_DESC,Split compare and test charts,Сравнение чартов и тестовая генерация
SETTINGS_NAV_LIBRARY,Library,Библиотека
SETTINGS_NAV_LIBRARY_DESC,Folders and scanning,Папки и сканирование
SETTINGS_NAV_DATA,Data,Данные
SETTINGS_NAV_DATA_DESC,Backups and maintenance,Резервные копии и обслуживание
SETTINGS_NAV_DANGER,Danger zone,Опасная зона
SETTINGS_NAV_DANGER_DESC,Reset and delete data,Сброс и удаление данных
SETTINGS_NAV_HOTKEYS_HINT,Keys 1–9 switch sections,Клавиши 1–9 — переключение разделов
EXP_COMPARE_SECTION,Chart compare,Сравнение чартов
EXP_COMPARE_SECTION_HINT,Two charts one song. Tab swaps A/B (default); split mode shows a ghost field on the right.,Два чарта на одну песню. Tab — смена A/B (по умолчанию); split — призрачное поле справа.
EXP_CHART_COMPARE_ENABLE,Enable chart compare in game,Включить сравнение чартов в игре
EXP_CHART_COMPARE_ENABLE_TOOLTIP,Requires a variant chart file (e.g. drums_basic_lanes4_exp.rf). Tab switches charts in hotkey mode.,Нужен variant-файл (например drums_basic_lanes4_exp.rf). Tab переключает чарты в режиме hotkey.
EXP_COMPARE_MODE_LABEL,Compare mode,Режим сравнения
EXP_COMPARE_MODE_HOTKEY,Tab swap (A↔B),Tab — смена A↔B
EXP_COMPARE_MODE_SPLIT,Split screen,Split-screen
EXP_COMPARE_MODE_TOOLTIP,Hotkey: one playfield Tab swaps production and variant. Split: two fields side by side (variant is visual only).,Hotkey: одно поле Tab меняет production и variant. Split: два поля рядом (variant без оценки).
EXP_COMPARE_CHART_A,Chart A (production) — Tab to swap,Чарт A (production) — Tab для смены
EXP_COMPARE_CHART_B,Chart B (%s) — Tab to swap,Чарт B (%s) — Tab для смены
EXP_COMPARE_SPLIT_HINT,Split compare: left scores right is ghost,Split compare: слева оценка справа призрак
EXP_DEBUG_SECTION,Timing & drum debug,Тайминг и drum debug
EXP_DEBUG_SECTION_HINT,Yellow overlay and hit log for tuning judgement windows.,Жёлтый оверлей и лог попаданий для настройки окон судьи.
EXP_TIMING_DEBUG_LOG,Log hits to CSV and console,Лог попаданий в CSV и консоль
EXP_TIMING_DEBUG_LOG_TOOLTIP,Writes user://timing_hit_debug.csv and [TimingDebug] lines each session.,Пишет user://timing_hit_debug.csv и строки [TimingDebug] за сессию.
EXP_TIMING_DEBUG_OVERLAY,Timing debug overlay (yellow),Оверлей отладки тайминга (жёлтый)
EXP_TIMING_DEBUG_OVERLAY_TOOLTIP,Shows signed ms average last hit and music drift on screen.,Показывает signed ms среднее последнее попадание и drift музыки на экране.
EXP_TIMING_DEBUG_AUTOPLAY,Autoplay uses human hit windows,Автоплей с окнами как у игрока
EXP_TIMING_DEBUG_AUTOPLAY_TOOLTIP,Autoplay only hits inside perfect/good windows instead of frame-perfect.,Автоплей бьёт только в окна perfect/good а не по кадру.
EXP_DRUM_CLASS_COLORS,Kick blue / snare green note colors,Кик синий / снейр зелёный на нотах
EXP_DRUM_CLASS_COLORS_TOOLTIP,"DrumNote is only the note shape. Coloring uses the drum field in .rf (kick/snare) after regen; on old charts lane 0=kick and lane 1=snare.","DrumNote — только форма ноты. Цвет по полю drum в .rf после перегенерации; на старых чартах lane 0=kick, lane 1=snare."
EXP_SPLIT_COMPARE_ENABLE,Enable split compare in game,Включить split compare в игре
EXP_SPLIT_COMPARE_ENABLE_TOOLTIP,Requires a chart file with the variant tag (e.g. drums_basic_lanes4_exp.rf).,Нужен файл чарта с тегом (например drums_basic_lanes4_exp.rf).
EXP_VARIANT_TAG_LABEL,Chart tag (suffix),Тег чарта (суффикс)
EXP_VARIANT_TAG_TOOLTIP,Suffix before .rf — usually exp. Production chart is unchanged.,Суффикс перед .rf — обычно exp. Production-чарт не перезаписывается.
EXP_GEN_VARIANT_SECTION,Experimental generation,Экспериментальная генерация
EXP_GEN_VARIANT_SECTION_HINT,Restart the generation server after toggling. Saves to *_tag.rf only.,После смены перезапусти сервер генерации. Сохраняет только в *_тег.rf.
EXP_SAVE_EXPERIMENTAL_CHART,Save experimental chart (not production),Сохранять экспериментальный чарт (не production)
EXP_SAVE_EXPERIMENTAL_CHART_TOOLTIP,Sets RFALL_CHART_VARIANT for the server and writes client charts with the tag suffix.,Включает RFALL_CHART_VARIANT на сервере и пишет чарт с суффиксом на клиенте.
EXP_SHOW_RHYTHM_DNA_BUTTON,Show generation report button (Rhythm DNA),Показывать кнопку «О генерации» (Rhythm DNA)
EXP_SHOW_RHYTHM_DNA_BUTTON_TOOLTIP,Shows the info button next to chart density in the song card. Opens the .rfd sidecar report.,Показывает кнопку «ℹ» рядом с плотностью чарта. Открывает отчёт .rfd.
SETTINGS_SERVER_SECTION_HINT,"Server connection and notifications. Chart presets (fill, groove, mode) are on the song library screen — Generation settings button.","Подключение к серверу и уведомления. Пресеты чарта (fill, groove, режим) — на экране библиотеки, кнопка «Настройки генерации»."
SETTINGS_PARAMS_SECTION_HINT,"Chart readiness icons (what Generate notes queues), regeneration confirm, stem retention, and status display.","Иконки готовности чартов (что ставит в очередь «Сгенерировать ноты»), подтверждение перегенерации, хранение стемов и отображение статуса."
SETTINGS_SCOPE_HINT,"Icons pick which charts count as ready. Generate notes on a song queues every selected instruments × goals × difficulties combo for that song. Bass + Original + Readable alone → one chart; more icons on → those extra variants too. At least one icon must stay on in each row. Tagged presets are not affected.","Иконки задают, какие чарты считаются готовыми. «Сгенерировать ноты» на карточке песни ставит в очередь все комбинации выбранных инструментов × целей × сложностей для этой песни. Только бас + оригинал + читаемая — один чарт; если выбрано больше — генерируются и дополнительные варианты. В каждом ряду хотя бы одна иконка должна остаться включённой. Пресеты с тегом на эту настройку не влияют."
SETTINGS_LANGUAGE_SECTION_HINT,"Switch interface language (Russian / English). Applies after you save settings.","Смена языка интерфейса (русский / английский). Применяется после сохранения настроек."
SETTINGS_UPDATES_SECTION_HINT,"Check for new game versions and optionally scan on startup.","Проверка новых версий игры и опциональный поиск при запуске."
SETTINGS_DISPLAY_SECTION_HINT,"Window mode, resolution, graphics quality, and FPS counter.","Режим окна, разрешение, качество графики и счётчик FPS."
SETTINGS_GAMEPLAY_SECTION_HINT,"Note scroll speed, lane brightness, and approach hints during gameplay.","Скорость прокрутки нот, яркость линий и подсказки приближения в игре."
SETTINGS_VOLUME_SECTION_HINT,"Volume levels for music, effects, hits, metronome, and song previews.","Уровни громкости музыки, эффектов, попаданий, метронома и превью треков."
SETTINGS_CALIBRATION_SECTION_HINT,"Tap lane 0 in time with the metronome to sync notes with audio output.","Тапайте линию 0 в такт метроному, чтобы синхронизировать ноты со звуком."
SETTINGS_CONSOLE_SECTION_HINT,"Developer console (~) for debug commands. Disabled in release builds by default.","Консоль разработчика (~) для отладочных команд. В релизе обычно выключена."
SETTINGS_TOOLS_SECTION_HINT,"Batch cache cleanup and note file removal. Make a backup first.","Пакетная очистка кэша и удаление файлов нот. Сначала сделайте резервную копию."
LIBRARY_SONGS_FOLDER_SECTION_HINT,"Folder scanned for audio files shown in the song library.","Папка со звуковыми файлами для списка песен."
LIBRARY_SCAN_SECTION_HINT,"Rescan the songs folder to pick up new or moved tracks.","Повторное сканирование папки песен для новых или перемещённых треков."
LIBRARY_OPTIONS_SECTION_HINT,"Extra columns and labels in the song list.","Дополнительные колонки и подписи в списке песен."
SETTINGS_DANGER_ACTIONS_HINT,"Reset settings or profile progress, or delete user charts and songs. These actions cannot be undone.","Сброс настроек или прогресса профиля, удаление пользовательских чартов и песен. Действия необратимы."
SETTINGS_HELP_LINK_SERVER,Help: generation server,Справка: сервер генерации
SETTINGS_HELP_LINK_NOTES,Help: where .rf charts are stored,Справка: где лежат чарты .rf
SETTINGS_HELP_SEARCH_SERVER,generation server,сервер генерации
SETTINGS_HELP_SEARCH_NOTES,.rf chart notes,чарты .rf ноты
SETTINGS_HELP_LINK_SCOPE,Help: chart readiness,Справка: готовность чартов
SETTINGS_HELP_SEARCH_SCOPE,chart readiness scope,готовность чартов стили
HELP_LINK_WHY_NOT_READY,Why?,Почему?
HELP_LINK_GEN_PRESETS,Help: generation presets,Справка: пресеты генерации
HELP_LINK_RHYTHM_DNA,What is Rhythm DNA?,Что такое Rhythm DNA?
HELP_LINK_CHART_STYLE,Help: chart style,Справка: стиль чарта
HELP_LINK_PLAY_MODES,Help: play modes,Справка: режимы игры
HELP_LINK_MARATHON_ROUTES,How do routes work?,Как устроены маршруты?
HELP_LINK_AUDIO_TIMING,Help: timing / calibration,Справка: тайминг / калибровка
HELP_LINK_GUITAR_HERO,Help: Guitar Hero controller,Справка: гитарный контроллер
HELP_NUDGE_FIRST_CHART,"Charts ready. Tip: Original vs Arcade change how maps feel — open Help (?).","Чарты готовы. Подсказка: Оригинал и Аркада по-разному читаются — справка (?)."
GFX_QUALITY_TOOLTIP,"Overall visual quality — lower settings can help on weak PCs.","Общее качество картинки — низкие настройки помогают на слабых ПК."
GFX_FPS_MODE_TOOLTIP,"FPS counter in the corner during gameplay. Contrast mode is easier to read on bright backgrounds.","Счётчик FPS в углу во время игры. Контрастный режим лучше читается на ярком фоне."
SOUND_PREVIEW_MODE_TOOLTIP,"Snippet loops the loudest 15 seconds while a track stays selected; Full plays the entire song once.","Фрагмент зацикливает самые громкие 15 секунд пока трек выбран; «Вся песня» — один проход целиком."
SOUND_CALIBRATION_TOOLTIP,"Tap lane 0 key in time with the metronome (20 taps). Esc stops. Result is saved as timing offset.","Тапайте клавишу линии 0 в такт метроному (20 тапов). Esc — остановить. Результат сохраняется как сдвиг тайминга."
CONTROLS_LANE_TOOLTIP,"Key for this lane during gameplay and in audio calibration.","Клавиша этой линии в игре и при калибровке звука."
MISC_DANGER_WARNING,Irreversible actions. Back up your progress before resetting.,Необратимые действия. Сделайте резервную копию перед сбросом.
MISC_INTERFACE,Interface,Интерфейс
MISC_LANGUAGE,Language,Язык
MISC_GENERATION,Generation,Генерация
MISC_SONGS,Songs,Песни
MISC_DATA,Data and reset,Данные и сброс
MAIN_SUBTITLE,Rhythm game with note generation for your tracks,Ритм-игра с генерацией нот под ваши треки
MAIN_PLAY,PLAY,ИГРАТЬ
MAIN_ACHIEVEMENTS,ACHIEVEMENTS,ДОСТИЖЕНИЯ
MAIN_PROFILE,PROFILE,ПРОФИЛЬ
MAIN_SHOP,SHOP,МАГАЗИН
MAIN_SETTINGS,SETTINGS,НАСТРОЙКИ
MAIN_EXIT,EXIT,ВЫЙТИ
MAIN_EXIT_TITLE,Exit,Выход
MAIN_EXIT_TEXT,Are you sure you want to exit the game?,"Вы уверены, что хотите выйти из игры?"
MAIN_DAILY_QUESTS,Daily quests,Ежедневные задания
MAIN_DAILY_RESET,Refreshes in %s,Обновится через %s
MAIN_TAGLINE,Feel the rhythm. Achieve perfection.,Почувствуй ритм. Достигни совершенства.
MAIN_STATISTICS,Statistics,Статистика
MAIN_STAT_TRACKS,Tracks played,Треков сыграно
MAIN_STAT_PERFECT,Perfect hits,Идеальных попаданий
MAIN_STAT_COMBO,Max combo,Макс. комбо
MAIN_STAT_ACCURACY,Accuracy,Точность
MAIN_LAST_TRACK,Last track,Последний трек
MAIN_PLAY_AGAIN,Play again,Играть снова
PLAY_MODES_TITLE,PLAY,ИГРАТЬ
PLAY_MODES_SUBTITLE,Choose a mode,Выберите режим
PLAY_MODES_FOOTER_HINT,1 library · 2 Endless · 3 Marathon · Esc back,1 библиотека · 2 Бесконечный · 3 Марафон · Esc назад
PLAY_MODE_ALWAYS_AVAILABLE,Always available,Всегда доступно
PLAY_MODE_LOCKED,Locked,Заблокировано
PLAY_MODE_LIBRARY_TITLE,Free play,Свободная игра
PLAY_MODE_LIBRARY_DESC,Any track from the library · your mods · full rewards,Любой трек из библиотеки · свои моды · полные награды
PLAY_MODE_LIBRARY_ACTION,Go to library →,Перейти в библиотеку →
PLAY_MODE_LIBRARY_LAST_FMT,Last: %s,Последний: %s
PLAY_MODE_LIBRARY_NO_LAST,No recent track yet,Пока нет недавних треков
PLAY_MODE_ENDLESS_TITLE,Endless,Бесконечный
PLAY_MODE_ENDLESS_DESC,Tracks in a row until you lose · streak · summary at the end,Треки подряд · пока не проиграете · серия · сводка в конце
PLAY_MODE_ENDLESS_ACTION,Start,Начать
PLAY_MODE_ENDLESS_BEST_FMT,Best run: %d tracks,Лучший забег: %d песен
PLAY_MODE_ENDLESS_STREAK_BADGE_HINT,Best Endless streak: %d tracks,Лучшая серия в «Бесконечном»: %d песен
PLAY_MODE_ENDLESS_NO_BEST,No endless runs yet,Пока нет забегов в режиме «Бесконечный»
PLAY_MODE_MARATHON_TITLE,Marathon,Марафон
PLAY_MODE_MARATHON_DESC,Curated playlists from your library,Плейлисты из вашей библиотеки
PLAY_MODE_MARATHON_ACTION,Browse playlists,Каталог плейлистов
PLAY_MODE_MARATHON_PROGRESS_FMT,Playlists: %d / %d open,Плейлисты: %d / %d открыто
PLAY_MODE_UNLOCK_ACTION,Unlock,Открыть
PLAY_MODE_UNLOCK_TITLE,Unlock mode,Открыть режим
PLAY_MODE_UNLOCK_BODY,Unlock %s once every requirement below is met.,"Откройте «%s», когда будут выполнены все условия ниже."
PLAY_MODE_UNLOCK_REQ_FMT,Need: level %d · %d diamonds · %d medals (you: lvl %d · %d diamonds · %d medals),Нужно: ур. %d · %d алмазов · %d медалей (у вас: ур. %d · %d алмазов · %d медалей)
PLAY_MODE_UNLOCK_FREE,Unlock free,Открыть бесплатно
PLAY_MODE_UNLOCK_BUY_FMT,Buy for %d diamonds,Купить за %d алмазов
PLAY_MODE_UNLOCK_FAILED,Could not unlock this mode yet.,Не удалось открыть режим.
PLAY_MODE_UNLOCK_ANY_OF,Unlock with any one of:,Открыть одним из способов:
PLAY_MODE_UNLOCK_ALL_REQUIRED,All requirements must be met:,Нужно выполнить все условия:
PLAY_MODE_REQ_LEVEL_FMT,Level %d · you have %d,Уровень %d · у вас %d
PLAY_MODE_REQ_DIAMONDS_FMT,%d diamonds · you have %d,%d алмазов · у вас %d
PLAY_MODE_REQ_MEDALS_FMT,%d medals · you have %d,%d медалей · у вас %d
PLAY_MODE_COMING_SOON_TITLE,Coming soon,Скоро
PLAY_MODE_COMING_SOON_BODY,%s is unlocked but gameplay is not ready in this build yet.,«%s» открыт — геймплей режима появится в следующих обновлениях.
PLAY_MODE_ZONE_LAST_TRACK,Last track,Последний трек
PLAY_MODE_ZONE_YOUR_STATS,Your progress,Ваш прогресс
