keys,en,ru
HELP_guitar_hero_controller_CONTENT,"[flow linear]
guitar.svg|primary|Plug in gamepad
settings-2.svg|sky|Settings → Controls
gamepad-2.svg|teal|Enable guitar controller
circle-play.svg|play|Play
[/flow]

**Enable:** [color=#{sky}]Settings → Controls[/color] → block [color=#{primary}]«Guitar Hero controller»[/color] → check [color=#{teal}]«Enable guitar controller»[/color].

**Default XInput mapping (lanes 1–5):**
· [color=#{mint}]Green[/color] — A · [color=#{danger}]Red[/color] — B · [color=#{yellow}]Yellow[/color] — Y · [color=#{sky}]Blue[/color] — X · [color=#{orange}]Orange[/color] — LB
· **Strum** (Pick mode): D-Pad [color=#{teal}]Up[/color] / [color=#{teal}]Down[/color]
· [color=#{pink}]Start[/color] — pause · [color=#{slate}]Select[/color] — skip (like Space during countdown/intro)

**Auto-detect** picks a pad by name (Guitar Hero, Rock Band, XInput, …) or falls back to the **first connected** gamepad.

**Remap:** colored fret rows and strum/system buttons in the same panel. **Input test** lights lanes when you press buttons (holds show while pressed).

[callout info]Gameplay only — menus and song select stay on keyboard/mouse. Keyboard lanes still work in parallel.[/callout]

[callout tip]Strum matters mainly with the [color=#{purple}]Pick mode[/color] modifier; on normal tap notes frets alone are enough.[/callout]","[flow linear]
guitar.svg|primary|Подключить геймпад
settings-2.svg|sky|Настройки → Управление
gamepad-2.svg|teal|Включить гитарный контроллер
circle-play.svg|play|Играть
[/flow]

**Включение:** [color=#{sky}]Настройки → Управление[/color] → блок [color=#{primary}]«Контроллер Guitar Hero»[/color] → галочка [color=#{teal}]«Включить гитарный контроллер»[/color].

**Стандартная раскладка XInput (линии 1–5):**
· [color=#{mint}]Зелёный[/color] — A · [color=#{danger}]Красный[/color] — B · [color=#{yellow}]Жёлтый[/color] — Y · [color=#{sky}]Синий[/color] — X · [color=#{orange}]Оранжевый[/color] — LB
· **Страм** (режим медиатора): D-Pad [color=#{teal}]Вверх[/color] / [color=#{teal}]Вниз[/color]
· [color=#{pink}]Start[/color] — пауза · [color=#{slate}]Select[/color] — пропуск (как Пробел на отсчёте/интро)

**Автоопределение** ищет геймпад по имени (Guitar Hero, Rock Band, XInput, …) или берёт **первый подключённый**.

**Переназначение:** цветные ряды ладов и кнопки страма/системы в той же панели. **Проверка ввода** подсвечивает линии при нажатии (удержание видно, пока кнопка зажата).

[callout info]Только в игре — меню и выбор песни по-прежнему с клавиатуры/мыши. Клавиатурные линии работают параллельно.[/callout]

[callout tip]Страм важен в основном с модом [color=#{purple}]«Режим медиатора»[/color]; на обычных тап-нотах достаточно ладов.[/callout]"
HELP_add_songs_TITLE,How to add your own songs?,Как добавить свои песни?
HELP_add_songs_CONTENT,"[flow linear]
folder-open.svg|sky|Music folder
folder-search.svg|teal|Scan
metronome.svg|primary|BPM
sparkles.svg|mint|Notes
[/flow]

[color=#{primary}]MP3, OGG, or WAV[/color] files go into the music folder — the path is set in [color=#{sky}]Settings → Library[/color]. After [color=#{teal}]Scan songs[/color], new tracks appear in the list; BPM detection and note generation via the server are still required.","[flow linear]
folder-open.svg|sky|Папка с музыкой
folder-search.svg|teal|Сканировать
metronome.svg|primary|BPM
sparkles.svg|mint|Ноты
[/flow]

Файлы [color=#{primary}]MP3, OGG или WAV[/color] помещаются в папку с музыкой — путь задаётся в [color=#{sky}]Настройки → Библиотека[/color]. После [color=#{teal}]«Сканировать песни»[/color] новые треки появляются в списке; для них по-прежнему требуются BPM и генерация нот через сервер."
HELP_hit_grades_TITLE,What are PERFECT and GOOD?,Что такое ИДЕАЛЬНО и ХОРОШО?
HELP_hit_grades_CONTENT,"[showcase hit_window]

Timing accuracy grades:
· [color=#{perfect}]PERFECT[/color] — hit near the center of the window (±0.05 s).
· [color=#{good}]GOOD[/color] — wider window (±0.15 s).
· [color=#{danger}]MISS[/color] — too early, too late, or an extra press.
Score and combo details are in [color=#{sky}]Gameplay and Settings[/color].","[showcase hit_window]

Оценки точности попадания по времени:
· [color=#{perfect}]ИДЕАЛЬНО[/color] — попадание почти в центр окна (±0,05 с).
· [color=#{good}]ХОРОШО[/color] — более широкое окно (±0,15 с).
· [color=#{danger}]ПРОМАХ[/color] — слишком рано, поздно или лишнее нажатие.
Подробнее об очках и комбо — в разделе [color=#{sky}]«Геймплей и настройки»[/color]."
HELP_SEC_server_TITLE,Server and Audio Analysis,Сервер и анализ аудио
HELP_architecture_TITLE,How does the server architecture work?,Как работает архитектура сервера?
HELP_architecture_CONTENT,"RhythmFall uses a client-server architecture.

[flow split]
left=gamepad-2.svg|sky|Godot|UI · play · input
right=server.svg|teal|Python server|BPM · stems · notes
[/flow]

The server handles BPM, stems (drums / bass), and pattern generation for the selected **instrument**, **goal**, and **difficulty**.

[callout info]Chart parameters — in the song library; server connection — [color=#{sky}]Settings → Generation[/color].[/callout]","RhythmFall использует клиент-серверную архитектуру.

[flow split]
left=gamepad-2.svg|sky|Godot|UI · игра · ввод
right=server.svg|teal|Python-сервер|BPM · стемы · ноты
[/flow]

Сервер: BPM, стемы (ударные / бас), генерация паттерна для выбранного **инструмента**, цели и сложности.

[callout info]Параметры чарта — в библиотеке; подключение к серверу — [color=#{sky}]Настройки → Генерация[/color].[/callout]"
HELP_pipeline_TITLE,Audio analysis pipeline,Технологический пайплайн анализа
HELP_pipeline_CONTENT,Track processing on the server follows this chain:\n1. [color=#{primary}]Stem Separation[/color]: the Demucs model separates drums from the mix.\n2. [color=#{teal}]Tempo Analysis[/color]: TempoCNN estimates BPM.\n3. [color=#{sky}]Beat Tracking[/color]: a network builds the beat grid.\n4. [color=#{purple}]Genre ID[/color]: Discogs400 suggests genre for generation rules.\n5. [color=#{mint}]Synthesis[/color]: assembling notes with quantization and lane assignment.,Обработка трека на сервере идёт по цепочке:\n1. [color=#{primary}]Stem Separation[/color]: модель Demucs отделяет ударные от микса.\n2. [color=#{teal}]Tempo Analysis[/color]: TempoCNN оценивает BPM.\n3. [color=#{sky}]Beat Tracking[/color]: сеть строит тактовую сетку.\n4. [color=#{purple}]Genre ID[/color]: Discogs400 подсказывает жанр для правил генерации.\n5. [color=#{mint}]Synthesis[/color]: сборка нот с квантованием и назначением по линиям.
HELP_server_required_TITLE,Do I need a local server for BPM and generation?,Нужен ли локальный сервер для BPM и генерации?
HELP_server_required_CONTENT,"Yes. Both [color=#{teal}]BPM detection[/color] and [color=#{primary}]note generation[/color] run on the server bundled with the game. Default [color=#{teal}]Automatic[/color] mode starts the server in the background. [color=#{primary}]Manual[/color] means [color=#{muted}]RhythmFallServer.exe[/color] is launched separately; [color=#{sky}]LAN[/color] uses another PC (host + port, often [color=#{teal}]5000[/color]). Configuration is in [color=#{sky}]Settings → Generation[/color]. Without a responding server, analysis and generation will not finish.","Да. И [color=#{teal}]BPM[/color], и [color=#{primary}]генерация нот[/color] идут через сервер из комплекта игры. По умолчанию [color=#{teal}]«Автоматически»[/color] — сервер запускается в фоне. [color=#{primary}]«Вручную»[/color] — [color=#{muted}]RhythmFallServer.exe[/color] запускается отдельно; [color=#{sky}]LAN[/color] — другой ПК (адрес + порт, часто [color=#{teal}]5000[/color]) — в [color=#{sky}]Настройки → Генерация[/color]. Без отвечающего сервера анализ и генерация не завершатся."
HELP_stems_TITLE,What are stems in generation settings?,Что такое «стемы» в настройках генерации?
HELP_stems_CONTENT,"[showcase stems]\n\n[color=#{sky}]Stems[/color] are separate tracks split from the full mix (for example, drums only). If [color=#{teal}]Enable stem separation[/color] is on in advanced generation settings, the server focuses on the isolated drum track — usually more accurate for rhythm than analyzing the full mix.","[showcase stems]\n\n[color=#{sky}]Стемы[/color] — это разделение полного микса на отдельные дорожки (например, только ударные). Если включено [color=#{teal}]«Включить разделение на stem'ы»[/color] в расширенных настройках генерации, сервер ориентируется на изолированную барабанную дорожку — для ритма это обычно точнее, чем анализ всего микса."
HELP_SEC_generation_TITLE,Note Generation,Генерация нот
HELP_modes_TITLE,How does chart goal work?,Как работает цель генерации?
HELP_modes_SUMMARY,"In short: pick Original (close to the audio) or Arcade (playable, grid-friendly).","Коротко: выбери Оригинал (ближе к аудио) или Аркаду (играбельно, к сетке)."
HELP_modes_CONTENT,"[showcase gen_modes]

In [color=#{primary}]Generation settings[/color], the chart is set by [color=#{sky}]goal[/color] — not a stack of separate “style” buttons.

**[color=#{sky}]Goal[/color]** — build policy:
· [color=#{teal}]Original[/color] — events closer to audio detection; minimal gap fill.
· [color=#{pink}]Arcade[/color] — playable chart: gap fill, grid snap, readable patterns.

Filenames include the goal, e.g. [color=#{muted}]drums_original.rf[/color], [color=#{muted}]drums_arcade_medium.rf[/color], [color=#{muted}]bass_arcade_medium.rf[/color].

[callout info]Former names “Pulse” and “Minimal” belonged to a legacy single-style scheme; their role is covered by the Arcade goal.[/callout]","[showcase gen_modes]

В [color=#{primary}]«Настройки генерации»[/color] карта задаётся [color=#{sky}]целью[/color] — не набором отдельных кнопок «стиль».

**[color=#{sky}]Цель[/color]** — принцип построения:
· [color=#{teal}]Оригинал[/color] — события ближе к детекции в аудио; минимум достройки.
· [color=#{pink}]Аркада[/color] — играбельная карта: достройка пропусков, привязка к сетке, читаемые паттерны.

В имени файла стоят инструмент и цель, например [color=#{muted}]drums_original.rf[/color], [color=#{muted}]drums_arcade_medium.rf[/color], [color=#{muted}]bass_arcade_medium.rf[/color].

[callout info]Прежние названия «Пульс» и «Минимум» относились к устаревшей схеме из одного «стиля»; их роль выполняет цель «Аркада».[/callout]"
HELP_advanced_TITLE,What are Advanced generation settings?,Что такое «Расширенные настройки» генерации?
HELP_advanced_CONTENT,"[showcase gen_advanced]

**Percussion.** An expandable block in [color=#{sky}]Generation settings[/color] refines the result on top of the selected goal and difficulty:
· [color=#{teal}]Fill[/color] — notes in gaps between main hits.
· [color=#{sky}]Liveliness[/color] — pattern variation.
· [color=#{mint}]Density[/color] — overall note count (server limits apply).
· [color=#{purple}]Grid snap[/color] — quantization strength to BPM.
· [color=#{pink}]Genre template[/color] — genre rule influence.
· [color=#{primary}]Downbeat accent[/color], [color=#{slate}]genre detection[/color], [color=#{kick}]stems[/color], [color=#{purple}]hi-hats[/color], [color=#{teal}]noise cleanup[/color], [color=#{primary}]gap fill[/color] (stronger for [color=#{pink}]Arcade[/color]), [color=#{sky}]raw ADTOF[/color].

**Bass.** Advanced settings expose only [color=#{kick}]stem separation[/color]; percussion sliders are hidden. Goal and difficulty define the whole chart.

[color=#{mint}]Reset style[/color] restores slider defaults for the current goal. [color=#{purple}]Presets[/color] store a separate parameter set — see “What are generation presets”.","[showcase gen_advanced]

**Перкуссия.** Раскрывающийся блок в [color=#{sky}]«Настройки генерации»[/color] уточняет результат поверх выбранных цели и сложности:
· [color=#{teal}]Заполнение[/color] — ноты в паузах между основными ударами.
· [color=#{sky}]Живость[/color] — вариативность рисунка.
· [color=#{mint}]Плотность[/color] — общее число нот (с лимитами сервера).
· [color=#{purple}]Привязка к сетке[/color] — сила квантования к BPM.
· [color=#{pink}]Жанровый шаблон[/color] — влияние жанровых правил.
· [color=#{primary}]Акцент сильной доли[/color], [color=#{slate}]определение жанра[/color], [color=#{kick}]стемы[/color], [color=#{purple}]тарелки[/color], [color=#{teal}]чистка шума[/color], [color=#{primary}]достройка пропусков[/color] (сильнее при цели [color=#{pink}]Аркада[/color]), [color=#{sky}]сырой ADTOF[/color].

**Бас.** В расширенных настройках доступно только [color=#{kick}]разделение на stem'ы[/color]; слайдеры перкуссии скрыты. Цель и сложность задают карту целиком.

[color=#{mint}]«Сбросить стиль»[/color] возвращает слайдеры к значениям по умолчанию для текущей цели. [color=#{purple}]Пресеты[/color] хранят отдельный набор параметров — см. «Что такое пресеты генерации»."
HELP_persist_TITLE,Are generation settings saved?,Сохраняются ли настройки генерации?
HELP_persist_CONTENT,"Yes. [color=#{primary}]Sliders, checkboxes, goal, difficulty, instrument, and lane count[/color] are saved in game settings and restored the next time you open [color=#{sky}]Generation settings[/color] — this is a draft, not a saved preset. Saved [color=#{purple}]presets[/color] (10 slots, each with its own chart) are a separate feature — see “What are generation presets”.","Да. [color=#{primary}]Слайдеры, чекбоксы, цель, сложность, инструмент и число линий[/color] сохраняются в настройках игры и восстанавливаются при следующем открытии окна [color=#{sky}]«Настройки генерации»[/color] — это черновик, а не отдельный пресет. Сохранённые [color=#{purple}]пресеты[/color] (10 слотов, каждый со своим чартом) — отдельная функция, см. «Что такое пресеты генерации»."
HELP_SEC_instruments_TITLE,Instruments,Инструменты
HELP_instruments_overview_TITLE,Which instruments exist and how do they differ?,Какие инструменты есть и чем отличаются?
HELP_instruments_overview_SUMMARY,"In short: percussion and bass are available; guitar, keys, and vocals are in development.","Коротко: перкуссия и бас доступны; гитара, клавиши и вокал — в разработке."
HELP_instruments_overview_CONTENT,"[flow split]
left=drum.svg|teal|Percussion|Discrete hits on lanes
right=guitar.svg|sky|Bass|Holds and sustained notes
[/flow]

A single track can have separate charts per instrument. Selection is in [color=#{primary}]Generation settings[/color] ([color=#{muted}]1[/color] — percussion, [color=#{muted}]2[/color] — bass).

**[color=#{teal}]Percussion[/color]** — a rhythm chart from drums (kick, snare, cymbals) on 3–5 lanes. Analysis usually uses a drum stem.

**[color=#{sky}]Bass[/color]** — a chart from the bass part: tap, hold, multi-lane; built from a bass stem and pitch track.

Guitar, keys, vocals, and full mix are not available in the UI at this time.

Each instrument has its own chart files (e.g. [color=#{muted}]bass_arcade_medium.rf[/color]) and separate profile stats.","[flow split]
left=drum.svg|teal|Перкуссия|Дискретные удары по линиям
right=guitar.svg|sky|Бас|Удержания и протяжённые ноты
[/flow]

Один трек может иметь отдельные партии по инструментам. Выбор — в [color=#{primary}]«Настройки генерации»[/color] ([color=#{muted}]1[/color] — перкуссия, [color=#{muted}]2[/color] — бас).

**[color=#{teal}]Перкуссия[/color]** — ритм-карта по ударным (kick, snare, тарелки) на 3–5 линиях. Анализ обычно опирается на drum-stem.

**[color=#{sky}]Бас[/color]** — карта по басовой партии: tap, hold, multi-lane; построение из bass-stem и pitch-трека.

Гитара, клавиши, вокал и полный микс в интерфейсе пока недоступны.

У каждого инструмента отдельные файлы чартов (например [color=#{muted}]bass_arcade_medium.rf[/color]) и отдельная статистика в профиле."
HELP_instrument_gameplay_TITLE,Percussion and bass: how gameplay works,Перкуссия и бас: как устроен геймплей
HELP_instrument_gameplay_SUMMARY,"In short: percussion — discrete hits; bass — tap, hold, ghost, multi-lane.","Коротко: перкуссия — дискретные удары; бас — tap, удержание, теневые, многодорожечные."
HELP_instrument_gameplay_CONTENT,"**[color=#{teal}]Percussion[/color]**
Each note is a separate hit on its lane. The press occurs when the note crosses the hit line. Grades are [color=#{perfect}]Perfect[/color] / [color=#{good}]Good[/color] / [color=#{danger}]Miss[/color] (see “What are PERFECT and GOOD?”). Several notes at once require simultaneous presses on the matching lanes. Generation uses goal × difficulty; percussion also has advanced sliders. DNA modifiers use the `.rfd` sidecar.

**[color=#{sky}]Bass[/color]**
· **Tap** — press at the note head.
· **Hold** — the sustain continues until the note ends; releasing early stops tail points and is not a miss.
· **Ghost** — optional note: a successful hit awards a bonus; skipping it is not a miss and does not break combo.
· **Multi-lane** — several lanes at once (same tap or hold).
· **Slide** — present in the chart format; currently played as hold.

Other notes do not appear on a lane during a hold.

[callout info]Percussion and bass on one track are different chart files; changing the instrument in generation settings does not overwrite the other instrument’s chart.[/callout]

[callout warning]Rhythm DNA for bass is not implemented at this time — only standard run modifiers apply. Rhythm DNA is available for percussion when a `.rfd` file is present.[/callout]","**[color=#{teal}]Перкуссия[/color]**
Каждая нота — отдельный удар в свою линию. Нажатие выполняется в момент прохождения ноты через линию попадания. Оценка — [color=#{perfect}]Идеально[/color] / [color=#{good}]Хорошо[/color] / [color=#{danger}]Промах[/color] (см. «Что такое ИДЕАЛЬНО и ХОРОШО?»). Несколько нот в один момент требуют одновременного нажатия соответствующих линий. Генерация: цель × сложность; для перкуссии доступны расширенные слайдеры. DNA-модификаторы используют sidecar `.rfd`.

**[color=#{sky}]Бас[/color]**
· **Tap** — нажатие в момент головы ноты.
· **Удержание** — длится до конца ноты; досрочное отпускание прекращает очки за хвост и не считается промахом.
· **Теневая** — опциональная нота: успешное попадание даёт бонус; пропуск не даёт промаха и не прерывает комбо.
· **Многодорожечная** — одновременное нажатие нескольких линий (тот же tap или удержание).
· **Слайд** — есть в формате чарта; пока играется как удержание.

На линии на протяжении удержания другие ноты не появляются.

[callout info]Перкуссия и бас на одном треке — разные файлы чартов; смена инструмента в настройках генерации не перезаписывает чарт другого инструмента.[/callout]

[callout warning]На данный момент Rhythm DNA для баса не реализован — доступны только обычные модификаторы забега. Rhythm DNA доступен для перкуссии при наличии `.rfd`.[/callout]"
HELP_bass_generation_TITLE,How bass charts are generated,Как генерируется бас
HELP_bass_generation_SUMMARY,In short: same goal and difficulty as percussion; advanced settings offer stems only.,"Коротко: те же цель и сложность, что у перкуссии; в расширенных настройках — только стемы."
HELP_bass_generation_CONTENT,"The server isolates a bass stem (Demucs), builds a pitch track, and writes `.rf` with `instrument=bass`.

Goal and difficulty match the percussion axes:
· [color=#{teal}]Original[/color] — closer to the bass line in the audio.
· [color=#{pink}]Arcade[/color] — a more playable chart: quantization, gap fill, multi-lane accents.
· [color=#{mint}]Backbone / Easy[/color] — fewer notes; [color=#{danger}]Hard / As in audio[/color] — higher density.

In advanced settings for bass, only [color=#{kick}]stem separation[/color] is available; percussion sliders are hidden.

Filenames: [color=#{muted}]bass_original.rf[/color], [color=#{muted}]bass_arcade_hard.rf[/color], and similar.","Сервер выделяет bass-stem (Demucs), строит pitch-трек и записывает `.rf` с `instrument=bass`.

Цель и сложность совпадают с осями перкуссии:
· [color=#{teal}]Оригинал[/color] — ближе к басовой линии в аудио.
· [color=#{pink}]Аркада[/color] — более играбельная карта: квантование, достройка пропусков, многодорожечные акценты.
· Для [color=#{pink}]Аркады[/color]: [color=#{mint}]Лёгкая[/color] — меньше нот; [color=#{danger}]Сложная[/color] — выше плотность. У [color=#{teal}]Оригинала[/color] тиров сложности нет.

В расширенных настройках для баса доступно только [color=#{kick}]разделение на stem'ы[/color]; слайдеры перкуссии скрыты.

Имена файлов: [color=#{muted}]bass_original.rf[/color], [color=#{muted}]bass_arcade_hard.rf[/color] и аналогичные."
HELP_instrument_stats_TITLE,Instrument stats in profile,Статистика по инструментам в профиле
HELP_instrument_stats_SUMMARY,"In short: on the Statistics tab, “By instrument” opens a percussion and bass summary.",Коротко: на вкладке «Статистика» кнопка «По инструментам» открывает сводку по перкуссии и басу.
HELP_instrument_stats_CONTENT,"On the [color=#{primary}]Statistics[/color] tab, in the general stats block, [color=#{sky}]By instrument →[/color] is available.

A modal opens with two cards (percussion and bass). Metrics match: levels cleared, perfect hits, combo, score, hits, misses.

The accuracy chart on the tab aggregates all sessions; the per-instrument breakdown is only in this window.","На вкладке [color=#{primary}]«Статистика»[/color] в блоке общей статистики доступна кнопка [color=#{sky}]«По инструментам →»[/color].

Открывается модальное окно с двумя карточками (перкуссия и бас). Метрики совпадают: уровни, идеальные попадания, комбо, очки, попадания, промахи.

График точности на вкладке агрегирует все сессии; разбивка по инструменту — только в этом окне."
HELP_SEC_gameplay_TITLE,Gameplay and Settings,Геймплей и настройки
HELP_how_to_play_TITLE,How do I start playing?,Как начать играть?
